"sel","_id","gc","length","bestsumorder_phylum","bestsumorder_class","bestsumorder_order","bestsumorder_family","bestsumorder_genus","bestsumorder_species","HPA_04_pilon_bwa_aligned_sorted_cov","id"
"","373","0.3837","8634","Chordata","Actinopteri","Carangiformes","Echeneidae","Echeneis","Echeneis naucrates","282.8736","ctg374_pilon_pilon"
"","374","0.4103","8934","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","443.8685","ctg377_pilon_pilon"
"","375","0.3717","5292","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","852.1506","ctg378_pilon_pilon"
"","376","0.3688","6133","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","602.5677","ctg372_pilon_pilon"
"","377","0.3709","8378","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","891.5901","ctg381_pilon_pilon"
"","378","0.3908","4010","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0579","ctg380_pilon_pilon"
"","379","0.3717","9053","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1123.6103","ctg383_pilon_pilon"
"","380","0.404","9615","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","618.3992","ctg359_pilon_pilon"
"","381","0.4812","8202","Chordata","Actinopteri","Anabantiformes","Anabantidae","Anabas","Anabas testudineus","93.0918","ctg385_pilon_pilon"
"","382","0.4357","31918","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","737.5978","ctg384_pilon_pilon"
"","383","0.3716","11062","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","673.3852","ctg391_pilon_pilon"
"","384","0.3739","5215","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1536.2828","ctg388_pilon_pilon"
"","385","0.3694","7114","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","551.878","ctg382_pilon_pilon"
"","386","0.4071","8705","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","155.8071","ctg389_pilon_pilon"
"","387","0.3669","7163","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","1.5702","ctg390_pilon_pilon"
"","388","0.3719","8520","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","0.0495","ctg393_pilon_pilon"
"","389","0.3044","2612","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1331.4001","ctg386_pilon_pilon"
"","390","0.3822","8213","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","139.3275","ctg394_pilon_pilon"
"","391","0.3714","4720","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1406.2066","ctg387_pilon_pilon"
"","392","0.4879","4595","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus coioides x Epinephelus lanceolatus","0.3972","ctg395_pilon_pilon"
"","393","0.4639","5995","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","0.0232","ctg400_pilon_pilon"
"","394","0.3734","3492","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","5654.6999","ctg404_pilon_pilon"
"","395","0.4235","6076","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","658.1093","ctg403_pilon_pilon"
"","396","0.3608","5119","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","0","ctg396_pilon_pilon"
"","397","0.3734","6473","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0317","ctg392_pilon_pilon"
"","398","0.3719","9081","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1035.9446","ctg398_pilon_pilon"
"","399","0.3521","8182","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","237.2221","ctg405_pilon_pilon"
"","400","0.3714","18874","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","735.9345","ctg397_pilon_pilon"
"","401","0.3738","5460","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","3643.5207","ctg407_pilon_pilon"
"","402","0.3801","7441","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Gouania","Gouania willdenowi","189.2759","ctg406_pilon_pilon"
"","403","0.2649","4685","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.3415","ctg402_pilon_pilon"
"","404","0.3711","1679","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","6221.0959","ctg401_pilon_pilon"
"","405","0.4009","6939","Chordata","Actinopteri","Actinopteri-undef","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","485.7688","ctg414_pilon_pilon"
"","406","0.482","2116","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","Oryzias latipes","1.2302","ctg412_pilon_pilon"
"","407","0.4228","7321","Chordata","Actinopteri","Holocentriformes","Holocentridae","Myripristis","Myripristis murdjan","150.4229","ctg415_pilon_pilon"
"","408","0.3438","7086","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.1391","ctg409_pilon_pilon"
"","409","0.3854","10488","Chordata","Actinopteri","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus armatus","233.1711","ctg370_pilon_pilon"
"","410","0.3721","3776","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","9907.3816","ctg416_pilon_pilon"
"","411","0.3754","8820","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus","Coregonus sp. 'balchen'","238.6347","ctg411_pilon_pilon"
"","412","0.373","8258","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","510.9867","ctg417_pilon_pilon"
"","413","0.4072","6196","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0","ctg419_pilon_pilon"
"","414","0.395","6831","Chordata","Actinopteri","Actinopteri-undef","Moronidae","Dicentrarchus","Dicentrarchus labrax","0.1061","ctg399_pilon_pilon"
"","415","0.3748","5833","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.1147","ctg424_pilon_pilon"
"","416","0.3712","6970","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus","Coregonus sp. 'balchen'","4.0069","ctg420_pilon_pilon"
"","417","0.3683","2023","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","508.5704","ctg423_pilon_pilon"
"","418","0.4435","6563","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","184.2904","ctg425_pilon_pilon"
"","419","0.4024","4130","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0","ctg408_pilon_pilon"
"","420","0.3724","5824","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","4138.9912","ctg422_pilon_pilon"
"","421","0.3733","9743","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1729.1649","ctg410_pilon_pilon"
"","422","0.3705","5298","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","4486.0568","ctg430_pilon_pilon"
"","423","0.3671","5895","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","328.2584","ctg427_pilon_pilon"
"","424","0.3719","4135","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","5361.7311","ctg418_pilon_pilon"
"","425","0.3695","5496","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1273.3644","ctg421_pilon_pilon"
"","426","0.3928","6398","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","181.4644","ctg426_pilon_pilon"
"","427","0.4565","3963","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","Oryzias latipes","8.1259","ctg435_pilon_pilon"
"","428","0.4069","6372","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","325.713","ctg431_pilon_pilon"
"","429","0.3738","4120","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","647.6376","ctg434_pilon_pilon"
"","430","0.38","6166","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","143.162","ctg429_pilon_pilon"
"","431","0.3712","4450","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1137.0566","ctg428_pilon_pilon"
"","432","0.4305","6286","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","224.28","ctg433_pilon_pilon"
"","433","0.3845","4156","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","463.3462","ctg441_pilon_pilon"
"","434","0.3714","3745","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","796.3925","ctg413_pilon_pilon"
"","435","0.4409","5944","Chordata","Actinopteri","Actinopteri-undef","Sciaenidae","Larimichthys","Larimichthys crocea","140.0754","ctg432_pilon_pilon"
"","436","0.6227","4795","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","57.7873","ctg438_pilon_pilon"
"","437","0.3581","5065","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0503","ctg436_pilon_pilon"
"","438","0.405","4926","Chordata","Actinopteri","Carangiformes","Echeneidae","Echeneis","Echeneis naucrates","1570.3498","ctg442_pilon_pilon"
"","439","0.3984","3002","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0213","ctg443_pilon_pilon"
"","440","0.4101","6040","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","2260.3757","ctg439_pilon_pilon"
"","441","0.3682","2466","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","478.1144","ctg448_pilon_pilon"
"","442","0.3685","4526","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0791","ctg446_pilon_pilon"
"","443","0.3723","3140","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","4076.0583","ctg445_pilon_pilon"
"","444","0.6212","4813","Chordata","Actinopteri","Actinopteri-undef","Pomacanthidae","Holacanthus","Apolemichthys griffisi","4799.5238","ctg437_pilon_pilon"
"","445","0.359","3655","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","84.6282","ctg450_pilon_pilon"
"","446","0.2613","2679","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.2665","ctg440_pilon_pilon"
"","447","0.4459","5714","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","0.0935","ctg447_pilon_pilon"
"","448","0.3988","5487","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","138.5334","ctg444_pilon_pilon"
"","449","0.397","5579","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","74.8993","ctg449_pilon_pilon"
"","450","0.4196","3868","Chordata","Actinopteri","Pempheriformes","Lateolabracidae","Lateolabrax","Lateolabrax maculatus","0","ctg458_pilon_pilon"
"","451","0.4293","5113","Chordata","Actinopteri","Holocentriformes","Holocentridae","Myripristis","Myripristis murdjan","972.4074","ctg459_pilon_pilon"
"","452","0.4059","4735","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus maximus","0.0184","ctg457_pilon_pilon"
"","453","0.3623","5073","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","4085.7978","ctg452_pilon_pilon"
"","454","0.4013","5104","Chordata","Actinopteri","Anabantiformes","Anabantidae","Anabas","Anabas testudineus","143.8958","ctg453_pilon_pilon"
"","455","0.4249","5121","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0947","ctg451_pilon_pilon"
"","456","0.3896","5203","Chordata","Actinopteri","Actinopteri-undef","Sciaenidae","Larimichthys","Larimichthys crocea","144.2362","ctg460_pilon_pilon"
"","457","0.3722","2316","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","456.1956","ctg461_pilon_pilon"
"","458","0.6237","4194","Chordata","Actinopteri","Actinopteri-undef","Pomacanthidae","Holacanthus","Holacanthus passer","8427.6118","ctg468_pilon_pilon"
"","459","0.5705","4910","Chordata","Actinopteri","Actinopteri-undef","Pomacanthidae","Centropyge","Apolemichthys griffisi","5440.6328","ctg469_pilon_pilon"
"","460","0.3727","3201","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1594.3124","ctg454_pilon_pilon"
"","461","0.6182","9293","Chordata","Actinopteri","Actinopteri-undef","Pomacanthidae","Holacanthus","Holacanthus passer","6166.7855","ctg466_pilon_pilon"
"","462","0.3995","7326","Chordata","Actinopteri","Holocentriformes","Holocentridae","Myripristis","Myripristis murdjan","1499.277","ctg464_pilon_pilon"
"","463","0.3919","8664","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola lalandi","995.374","ctg463_pilon_pilon"
"","464","0.3744","8822","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","3582.0895","ctg470_pilon_pilon"
"","465","0.3793","8971","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus","Coregonus sp. 'balchen'","1263.5147","ctg471_pilon_pilon"
"","466","0.3777","4437","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.0095","ctg455_pilon_pilon"
"","467","0.4681","5492","Chordata","Actinopteri","Holocentriformes","Holocentridae","Myripristis","Myripristis murdjan","1052.1136","ctg467_pilon_pilon"
"","468","0.3894","5753","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","2.4073","ctg474_pilon_pilon"
"","469","0.6202","8776","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","613.2203","ctg476_pilon_pilon"
"","470","0.4138","3758","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1210.8534","ctg477_pilon_pilon"
"","471","0.3726","2394","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1490.4386","ctg478_pilon_pilon"
"","472","0.5787","7320","Chordata","Actinopteri","Actinopteri-undef","Pomacanthidae","Holacanthus","Holacanthus passer","6831.3268","ctg484_pilon_pilon"
"","473","0.404","4282","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","4838.7356","ctg456_pilon_pilon"
"","474","0.3724","14401","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","1074.7976","ctg465_pilon_pilon"
"","475","0.3893","5207","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","908.0086","ctg483_pilon_pilon"
"","476","0.3688","5741","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","430.8516","ctg485_pilon_pilon"
"","477","0.6579","3669","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","6.8335","ctg462_pilon_pilon"
"","478","0.4563","9386","Chordata","Actinopteri","Holocentriformes","Holocentridae","Myripristis","Myripristis murdjan","157.8065","ctg481_pilon_pilon"
"","479","0.3192","1676","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","0.3276","ctg473_pilon_pilon"
"","480","0.3891","6754","Chordata","Actinopteri","Actinopteri-undef","Centropomidae","Lates","Lates calcarifer","215.9309","ctg486_pilon_pilon"
"","481","0.3723","8698","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","2710.3286","ctg472_pilon_pilon"
"","482","0.4921","6826","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus coioides x Epinephelus lanceolatus","2221.2851","ctg482_pilon_pilon"
"","483","0.4127","5559","Chordata","Actinopteri","Spariformes","Sparidae","Sparus","Sparus aurata","283.429","ctg479_pilon_pilon"
"","484","0.3725","5053","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","2498.0321","ctg480_pilon_pilon"
"","485","0.4041","6781","no-hit","no-hit","no-hit","no-hit","no-hit","no-hit","16.1525","ctg475_pilon_pilon"
